date,market,type,source_regions,price_grade_상,price_grade_중,trend_note,forecast,year
2020-01-07,부산,소매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",1700.0,1500.0,"산지 출하량이 소폭 감소하였으나, 금주 지역내 지속적인 우천으로 인해 거래가 한산하여 소비감소를 통한 약보합세",향후 기상이 회복하고 거래량 증가가 예상되어 강보합세 전망,2020
2020-01-08,광주,소매,"전남 담양, 장성, 고흥 등지에서 주 출하됨",2000.0,1800.0,"최근 잦은 우천과 일조량 감소 등 생육여건 악화와 출하작업 지연으로 공급물량이 감소한데다, 제철을 맞아 디저트 재료(케이크, 타르트 등)로 제과점, 카페 등 수요가 증가하면서 오름세에 거래됨",비교적 꾸준한 수요와 기온하강에 따른 출하량 감소가 예상되어 강보합세 전망,2020
2020-01-08,대구,중도매,"경남 거창, 합천, 밀양, 경북 고령, 청도 등의 지역에서 주로 반입됨",31000.0,26000.0,이번 주 우천으로 인해 시장 거래량 많지 않아 시장 내 물량 풍부하여 내림세에 거래됨,다음 주부터 설 명절을 맞이해 과일 선물세트 반입이 늘어나 소비 분산될 것으로 보여 보합세 전망,2020
2020-01-08,대전,소매,"대전, 충남 금산, 논산, 전북 익산, 충북 음성, 경남 하동, 사천, 진주, 산청 등에서 출하됨",1500.0,1200.0,제철을 맞이해 출하물량이 풍부함에 따라 시장 내 물량도 풍부하여 가격의 내림세를 보임,당분간 제철 과일로 소비자들의 수요가 꾸준할 것으로 예상되어 가격의 약보합세 또는 보합세가 전망됨,2020
2020-01-20,광주,소매,"전남 담양, 장성, 곡성 등지에서 주 출하됨",1800.0,1500.0,"설 성수기를 맞이하면서 제수용품 및 선물용으로 명절 수요가 많은 사과, 배 위주로 거래가 이루어지면서 구매수요 감소로 내림세에 거래됨","빨리 물러지는 등 저장성이 약하나, 제수용 수요가 다소 있을 것으로 예상되어 주중 강보합세 전망",2020
2020-01-22,광주,소매,"전남 담양, 곡성, 장성 등지에서 주 출하됨",2000.0,1800.0,"설 명절을 맞아 제수용품 및 선물용으로 수요가 많은 사과, 배에 비해 구매수요는 낮으나, 1월 상순대비 기온하강으로 인한 생육여건 악화로 출하가 원활하지 못해 오름세에 거래됨",저장성이 약한 품목 특성상 설날 1~2일 전 수요가 있을 것으로 보여 강보합세 전망,2020
2020-01-23,부산,소매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",2000.0,1800.0,"명절대비 딸기의 수요가 높아지고 최근 우천, 추위 등의 영향으로 출하가 원활하지 못해 강보합세",명절 이후 수요의 감소로 약보합세 전망,2020
2020-01-23,대구,중도매,"경남 거창, 합천, 밀양, 경북 고령, 청도 등의 지역에서 주로 반입됨",35000.0,29000.0,어제부터 내린 우천으로 인해 시장 반입량 감소하고 설 명절까지 경매가 없어 소폭 오름세에 거래됨,향후 명절 이후 수요 감소할 것으로 예상되어 약보합세 전망,2020
2020-01-28,부산,소매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",1700.0,1500.0,명절 종료 후 시장 내 거래 한산으로 인해 수요가 감소하여 약보합세,명절 이후 수요의 감소로 당분간 보합세 혹은 약보합세 전망,2020
2020-01-29,부산,중도매,"경남 삼량진, 진주, 함안지역에서 주로 반입됨",25000.0,21000.0,"전일부터 산지 출하작업이 다시 시작되면서 시장내 반입량은 증가하나, 명절직후 대형수급처의 주문량 감소로 약보합세",향후에도 당분간은 명절이후 소비량 감소로 약보합세 전망,2020
