date,busan,daegu,gwangju,daejeon
2020-01-02,16000.0,17500.0,17500.0,16000.0
2020-01-03,16000.0,17000.0,19000.0,16000.0
2020-01-06,16000.0,17000.0,17500.0,16000.0
2020-01-07,16000.0,17000.0,17500.0,16000.0
2020-01-08,16000.0,15500.0,16000.0,16000.0
2020-01-09,12267.0,15500.0,16000.0,16000.0
2020-01-10,12200.0,13000.0,12733.0,12233.0
2020-01-13,16000.0,12800.0,12400.0,12433.0
2020-01-14,15000.0,12667.0,12250.0,12367.0
2020-01-15,15000.0,16000.0,17500.0,16000.0
2020-01-16,15000.0,15500.0,17500.0,17500.0
2020-01-17,16000.0,16000.0,17500.0,17500.0
2020-01-20,16500.0,16500.0,16500.0,16500.0
2020-01-21,16500.0,16500.0,17000.0,17000.0
2020-01-22,17000.0,13067.0,12967.0,12800.0
2020-01-23,11933.0,17500.0,17000.0,18000.0
2020-01-28,,15500.0,16000.0,15500.0
2020-01-29,12033.0,15000.0,15000.0,12500.0
2020-01-30,11500.0,12500.0,12500.0,11500.0
2020-01-31,11500.0,12500.0,12500.0,12500.0
2020-02-03,11500.0,11500.0,11500.0,11500.0
2020-02-04,11500.0,11500.0,11000.0,11000.0
2020-02-05,10000.0,11500.0,10000.0,10500.0
2020-02-06,10000.0,11500.0,10000.0,11500.0
2020-02-07,10000.0,11500.0,11900.0,11500.0
2020-02-10,11083.0,12900.0,11875.0,11250.0
2020-02-11,11000.0,12833.0,11500.0,10933.0
2020-02-12,11133.0,12900.0,11000.0,10733.0
2020-02-13,11200.0,12900.0,10500.0,10333.0
2020-02-14,10000.0,10000.0,10000.0,10000.0
2020-02-17,9000.0,10000.0,11050.0,9500.0
2020-02-18,9000.0,10000.0,9500.0,9500.0
2020-02-19,9000.0,10000.0,9500.0,9000.0
2020-02-20,9000.0,10000.0,9000.0,9000.0
2020-02-21,9700.0,11300.0,,9383.0
2020-02-24,9000.0,10000.0,,8000.0
2020-02-25,9000.0,10000.0,,8000.0
2020-02-26,9000.0,10000.0,,8000.0
2020-02-27,9200.0,9900.0,,8700.0
2020-02-28,9000.0,10000.0,,9500.0
2020-03-02,9000.0,9000.0,,9000.0
2020-03-03,9000.0,9000.0,,9000.0
2020-03-04,9000.0,9000.0,,8500.0
2020-03-05,9000.0,9000.0,,8500.0
2020-03-06,9000.0,8500.0,,8500.0
2020-03-09,9000.0,8500.0,9000.0,8500.0
2020-03-10,8675.0,8825.0,9000.0,8467.0
2020-03-11,8533.0,8700.0,8500.0,8400.0
2020-03-12,8367.0,8533.0,9000.0,8367.0
2020-03-13,8300.0,8400.0,8400.0,8467.0
2020-03-16,9000.0,9500.0,8417.0,9000.0
2020-03-17,8500.0,8000.0,8500.0,8500.0
2020-03-18,8500.0,9000.0,8500.0,8500.0
2020-03-19,8500.0,8500.0,8500.0,8500.0
2020-03-20,8500.0,8500.0,8500.0,8500.0
2020-03-23,8133.0,7900.0,8500.0,7933.0
2020-03-24,8000.0,8000.0,8500.0,8500.0
2020-03-25,8000.0,8000.0,8283.0,8500.0
2020-03-26,8000.0,8500.0,8000.0,8000.0
2020-03-27,8233.0,7800.0,8300.0,8067.0
2020-03-30,8500.0,8500.0,8500.0,8500.0
2020-03-31,8500.0,8500.0,9000.0,8500.0
2020-04-01,8500.0,9500.0,9000.0,8500.0
2020-04-02,8500.0,9500.0,9000.0,8500.0
2020-04-03,8500.0,9500.0,9000.0,8500.0
2020-04-06,8500.0,8500.0,9000.0,9000.0
2020-04-07,8500.0,8500.0,8500.0,8500.0
2020-04-08,7575.0,7358.0,8092.0,7233.0
2020-04-09,7667.0,7500.0,8133.0,7250.0
2020-04-10,7800.0,7700.0,8167.0,7250.0
2020-04-13,7842.0,8000.0,8050.0,7392.0
2020-04-14,8500.0,8500.0,8500.0,8000.0
2020-04-16,8500.0,8500.0,8000.0,8000.0
2020-04-17,8500.0,9000.0,8500.0,8000.0
2020-04-20,8500.0,9000.0,8500.0,8000.0
