瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
192,柳林,2022-01-01 01:00,-4.2,,.7,160,45,1027.7,1031.5,,,,10,,-1.2
192,柳林,2022-01-01 02:00,-4.8,,.1,0,48,1027.7,1031.5,,,,10,,-1.4
192,柳林,2022-01-01 03:00,-5.4,,0,0,50,1027.8,1031.6,,,,5,,-1.5
192,柳林,2022-01-01 04:00,-6,,.7,70,52,1027,1030.8,,,,10,,-1.9
192,柳林,2022-01-01 05:00,-6.3,,1,20,49,1026.6,1030.5,,,,10,,-2.3
192,柳林,2022-01-01 06:00,-7.6,,.4,0,57,1027.3,1031.2,,,,0,,-2.8
192,柳林,2022-01-01 07:00,-7.4,,.9,20,54,1027.1,1031,,,,1,,-3
192,柳林,2022-01-01 08:00,-7.9,,.6,50,56,1027.9,1031.8,0,.01,,4,,-3.3
192,柳林,2022-01-01 09:00,-5,,.2,0,49,1028.2,1032,.8,.4,,0,,-2.3
192,柳林,2022-01-01 10:00,-2.3,,.9,90,37,1028.8,1032.6,1,1.08,,0,,-.5
192,柳林,2022-01-01 11:00,-.1,,1.2,180,30,1028.5,1032.3,1,1.61,,5,,.1
192,柳林,2022-01-01 12:00,1.5,,1.1,70,25,1027.4,1031.1,1,1.96,,3,,1.5
192,柳林,2022-01-01 13:00,3.7,,.7,320,22,1026.2,1029.9,1,2.04,,0,,2.7
192,柳林,2022-01-01 14:00,4.6,,1.3,290,19,1024.9,1028.6,1,1.93,,5,,2.4
192,柳林,2022-01-01 15:00,6.3,,1,320,17,1024.3,1028,1,1.6,,5,,3.2
192,柳林,2022-01-01 16:00,6.3,,.8,180,18,1024.2,1027.9,1,1.07,,3,,2.5
192,柳林,2022-01-01 17:00,4.2,,1,140,24,1024.4,1028.1,.7,.41,,2,,1.5
192,柳林,2022-01-01 18:00,1.2,,.2,0,33,1024.6,1028.3,0,.02,,5,,.4
192,柳林,2022-01-01 19:00,-.9,,0,0,42,1024.8,1028.6,,,,6,,0
192,柳林,2022-01-01 20:00,-2.2,,0,0,46,1024.8,1028.6,,,,7,,-.3
192,柳林,2022-01-01 21:00,-2.9,,0,0,49,1024.9,1028.7,,,,5,,-.5
192,柳林,2022-01-01 22:00,-3.7,,0,0,52,1024.6,1028.4,,,,6,,-.7
192,柳林,2022-01-01 23:00,-3.3,,.2,0,53,1024.7,1028.5,,,,10,,-.7
192,柳林,2022-01-02 00:00,-4.3,,.1,0,56,1024.7,1028.5,,,,4,,-1
192,柳林,2022-01-02 01:00,-4.9,,.1,0,59,1024.1,1027.9,,,,7,,-1.3
192,柳林,2022-01-02 02:00,-5.6,,.1,0,63,1023.8,1027.6,,,,0,,-1.7
192,柳林,2022-01-02 03:00,-6.7,,0,0,67,1023.6,1027.4,,,,1,,-2
192,柳林,2022-01-02 04:00,-7.1,,0,0,67,1023,1026.8,,,,9,,-2.3
192,柳林,2022-01-02 05:00,-7.7,,.5,90,69,1022.7,1026.6,,,,0,,-2.6
192,柳林,2022-01-02 06:00,-8,,.2,0,70,1022.9,1026.8,,,,0,,-3
192,柳林,2022-01-02 07:00,-8.2,,.4,0,72,1023,1026.9,,,,0,,-3.3
192,柳林,2022-01-02 08:00,-8,,.3,0,72,1023.6,1027.5,0,.01,,0,,-3.3
192,柳林,2022-01-02 09:00,-4.5,,0,0,66,1023.8,1027.6,.8,.38,,0,,-2.3
192,柳林,2022-01-02 10:00,-.7,,.3,0,60,1024.1,1027.9,1,1.01,,2,,-.5
192,柳林,2022-01-02 11:00,2.4,,.8,160,48,1023.2,1026.9,1,1.5,,1,,.3
192,柳林,2022-01-02 12:00,6,,.8,340,37,1022.4,1026.1,1,1.85,,2,,2.2
192,柳林,2022-01-02 13:00,8.3,,1.7,70,35,1021.4,1025,1,2.09,,7,,4.4
192,柳林,2022-01-02 14:00,9.7,,2.5,50,43,1020.6,1024.2,1,1.87,,5,,4.2
192,柳林,2022-01-02 15:00,9.1,,2.4,20,41,1020.6,1024.2,1,1.47,,2,,4.9
