瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),秦搁扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
156,堡林,2024-01-01 01:00,4.6,,.3,0,84,1018,1026.8,,,,10,,4.2
156,堡林,2024-01-01 02:00,4.7,,.3,0,84,1018.2,1027,,,,10,,4.2
156,堡林,2024-01-01 03:00,3.7,,.1,0,89,1018.5,1027.3,,,,5,,2.3
156,堡林,2024-01-01 04:00,3.1,,.6,90,96,1018.6,1027.4,,,,2,,1.4
156,堡林,2024-01-01 05:00,2.5,,.7,140,98,1018.8,1027.7,,,,0,,1.3
156,堡林,2024-01-01 06:00,2,,.5,70,99,1019.2,1028.1,,,,0,,1.2
156,堡林,2024-01-01 07:00,1.5,,.1,0,99,1019.7,1028.6,,,,0,,1.1
156,堡林,2024-01-01 08:00,1.4,,.8,50,99,1020.2,1029.1,0,.07,,0,,.9
156,堡林,2024-01-01 09:00,2.5,,.1,0,99,1020.4,1029.3,.7,.38,,0,,1.1
156,堡林,2024-01-01 10:00,4,,.2,0,94,1020.9,1029.7,1,.96,,0,,3.5
156,堡林,2024-01-01 11:00,6.2,,.7,250,87,1021,1029.8,1,1.48,,1,,11.8
156,堡林,2024-01-01 12:00,6.5,,1.2,250,79,1020.5,1029.2,.6,1.45,,9,,12.3
156,堡林,2024-01-01 13:00,7.1,,1.4,250,73,1019.6,1028.3,0,.84,,9,,11.2
156,堡林,2024-01-01 14:00,8.1,,1.1,90,65,1018.3,1027,.5,1.41,,8,,13.9
156,堡林,2024-01-01 15:00,8.8,,1.6,270,63,1018.1,1026.7,.5,1.19,,7,,13.1
156,堡林,2024-01-01 16:00,8.6,,1.2,270,66,1017.7,1026.3,0,.48,,9,,10.1
156,堡林,2024-01-01 17:00,8,,1.4,230,69,1017.4,1026.1,0,.27,,8,,8.3
156,堡林,2024-01-01 18:00,7.5,,.9,250,71,1017.6,1026.3,0,.09,,8,,6.5
156,堡林,2024-01-01 19:00,7.4,,.6,200,73,1017.5,1026.2,,,,0,,6.3
