지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면상태(지면상태코드),지면온도(°C)
192,진주,2026-01-01 01:00,-3.6,,1.3,360,25,1021.9,1025.7,,,,0,,-2.8
192,진주,2026-01-01 02:00,-4.6,,.1,0,29,1021.6,1025.4,,,,0,,-3.3
192,진주,2026-01-01 03:00,-5.5,,.4,0,34,1021.1,1024.9,,,,0,,-3.8
192,진주,2026-01-01 04:00,-6.8,,.1,0,41,1020.7,1024.5,,,,4,,-4.1
192,진주,2026-01-01 05:00,-7.9,,.3,0,48,1020.7,1024.6,,,,0,,-4.5
192,진주,2026-01-01 06:00,-7.3,,.2,0,50,1020.7,1024.5,,,,10,,-3.7
192,진주,2026-01-01 07:00,-4.5,,1.2,70,33,1020.8,1024.6,,,,9,,-3
192,진주,2026-01-01 08:00,-4.4,,.8,50,31,1021.3,1025.1,0,.01,,10,,-2.5
192,진주,2026-01-01 09:00,-3.6,,.9,70,28,1021.6,1025.4,.3,.3,,6,,-1.8
192,진주,2026-01-01 10:00,-1.5,,2.5,20,19,1021.7,1025.5,1,.97,,6,,-.2
192,진주,2026-01-01 11:00,-.5,,1.8,20,14,1021.5,1025.3,.8,1.26,,8,,.8
192,진주,2026-01-01 12:00,.3,,2.1,20,14,1020.8,1024.5,.1,.97,,9,,1.4
192,진주,2026-01-01 13:00,.8,,1.9,360,13,1020.2,1023.9,.1,1.21,,9,,2.4
192,진주,2026-01-01 14:00,.4,,2.9,20,14,1020.1,1023.8,0,1.12,,9,,2.7
192,진주,2026-01-01 15:00,.4,,3.3,360,16,1020.2,1023.9,.7,1.01,,8,,2.7
192,진주,2026-01-01 16:00,.6,,3.4,340,18,1020.3,1024,1,.98,,6,,1.6
192,진주,2026-01-01 17:00,0,,2.6,340,22,1020.4,1024.1,.6,.38,,6,,.1
192,진주,2026-01-01 18:00,-.9,,2.2,360,24,1020.7,1024.5,0,.02,,6,,-.4
192,진주,2026-01-01 19:00,-1.4,,1.5,360,26,1020.6,1024.4,,,,6,,-.9
192,진주,2026-01-01 20:00,-2.3,,.5,20,29,1020.2,1024,,,,6,,-1.3
192,진주,2026-01-01 21:00,-3.5,,.5,20,34,1020.1,1023.9,,,,0,,-2
192,진주,2026-01-01 22:00,-4.5,,.1,0,37,1020.2,1024,,,,0,,-2.5
192,진주,2026-01-01 23:00,-4.2,,1.1,20,35,1020.5,1024.3,,,,0,,-2.8
192,진주,2026-01-02 00:00,-4.2,,.8,360,38,1020.1,1023.9,,,,0,,-3
192,진주,2026-01-02 01:00,-5,,.6,70,40,1019.6,1023.4,,,,0,,-3.3
192,진주,2026-01-02 02:00,-7.3,,.3,0,51,1019.8,1023.6,,,,0,,-3.8
192,진주,2026-01-02 03:00,-7.8,,.4,0,56,1019.9,1023.8,,,,0,,-4
192,진주,2026-01-02 04:00,-7.6,,.4,0,58,1019.5,1023.3,,,,0,,-4.4
192,진주,2026-01-02 05:00,-7.7,,.3,0,59,1019.6,1023.4,,,,0,,-4.7
192,진주,2026-01-02 06:00,-5,,2.9,360,40,1019.8,1023.6,,,,0,,-4.4
192,진주,2026-01-02 07:00,-6.3,,.7,20,44,1020.1,1023.9,,,,0,,-4.6
192,진주,2026-01-02 08:00,-6.5,,1.7,20,45,1020.3,1024.1,0,.01,,0,,-4.7
192,진주,2026-01-02 09:00,-4.9,,1.2,70,43,1020.6,1024.4,.8,.38,,0,,-3
192,진주,2026-01-02 10:00,-3.3,,1.9,20,36,1021.1,1024.9,1,1.06,,0,,-.4
192,진주,2026-01-02 11:00,-2,,3.2,360,29,1021.1,1024.9,1,1.61,,0,,2
192,진주,2026-01-02 12:00,-.4,,3.4,340,24,1020.1,1023.8,1,1.99,,0,,4.5
192,진주,2026-01-02 13:00,.6,,3.1,360,21,1019.2,1022.9,1,2.11,,0,,4
192,진주,2026-01-02 14:00,1.8,,3,360,19,1018.6,1022.3,1,1.98,,0,,2.8
192,진주,2026-01-02 15:00,2.2,,3.4,360,19,1018.5,1022.2,1,1.64,,0,,2
192,진주,2026-01-02 16:00,1.8,,2.6,360,20,1018.8,1022.5,1,1.11,,0,,.4
192,진주,2026-01-02 17:00,.2,,2.4,360,25,1018.8,1022.5,.7,.4,,0,,-.2
192,진주,2026-01-02 18:00,-1.2,,1.5,340,34,1019.4,1023.2,0,.01,,0,,-.8
192,진주,2026-01-02 19:00,-1.6,,1.3,340,42,1019.8,1023.6,,,,0,,-1.3
192,진주,2026-01-02 20:00,-3.6,,.6,110,51,1020.1,1023.9,,,,0,,-1.9
192,진주,2026-01-02 21:00,-4.3,,.1,0,56,1020.3,1024.1,,,,0,,-2.5
192,진주,2026-01-02 22:00,-5.4,,0,0,62,1020.5,1024.3,,,,0,,-2.9
192,진주,2026-01-02 23:00,-6.2,,0,0,65,1021,1024.8,,,,0,,-3.3
192,진주,2026-01-03 00:00,-7.4,,.1,0,69,1021,1024.8,,,,0,,-3.7
192,진주,2026-01-03 01:00,-7.6,,.1,0,73,1021,1024.9,,,,0,,-4
192,진주,2026-01-03 02:00,-7.6,,0,0,77,1021.4,1025.3,,,,0,,-4.2
192,진주,2026-01-03 03:00,-8.4,,0,0,80,1021.6,1025.5,,,,0,,-4.6
192,진주,2026-01-03 04:00,-8.9,,.1,0,82,1021.6,1025.5,,,,0,,-4.9
192,진주,2026-01-03 05:00,-9.4,,.1,0,83,1021.4,1025.3,,,,0,,-5.2
192,진주,2026-01-03 06:00,-9.6,,.1,0,85,1021.9,1025.8,,,,0,,-5.5
192,진주,2026-01-03 07:00,-10,,.1,0,86,1022.8,1026.7,,,,0,,-5.7
192,진주,2026-01-03 08:00,-10.3,,.1,0,85,1023.4,1027.3,0,.01,,0,,-5.6
