지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C)
238,금산,2023-07-01,26.7,22.9,32.4,,.7,80.1,985.9,,4.3,27
238,금산,2023-07-02,26.5,22.4,31.2,,.8,79.1,988.6,,6.9,27.6
238,금산,2023-07-03,27.1,22.8,32.2,,.8,79.3,985.9,,6.5,28.5
238,금산,2023-07-04,23.7,22.7,25.9,51.2,1,96,981.3,,8.9,25.1
238,금산,2023-07-05,23.8,20.3,27.7,22.7,1.7,83.5,977.4,,4.5,26.6
238,금산,2023-07-06,25.4,18.3,32,,1,69.5,983.2,,7.6,26.1
238,금산,2023-07-07,20.8,18.9,24.9,48.5,.9,93.8,982.9,,9,23.4
238,금산,2023-07-08,23.8,19.2,29.5,2.4,.7,90.4,983,,6.6,25.2
238,금산,2023-07-09,26.4,22,30.4,0,1.2,84.1,983.5,,7,26.6
238,금산,2023-07-10,26.6,22.6,31.7,,1.1,77.3,984.9,,6.5,27.6
238,금산,2023-07-11,22.8,21.5,26.2,45.7,.8,97.1,986.3,,8.9,24.2
238,금산,2023-07-12,26,21.9,30.7,.6,.8,85.9,985.9,,7.6,27.2
238,금산,2023-07-13,24.8,23.8,25.5,20.9,1,95.1,985.1,,10,25.7
238,금산,2023-07-14,24.4,23.5,26.5,195.1,1.8,97.9,980.4,,9.9,24.5
238,금산,2023-07-15,24,20.9,27.3,31.3,1.8,91.5,982.7,,10,24.3
238,금산,2023-07-16,24.3,21,28.4,2.7,.6,91.8,988.2,,8.9,25.3
238,금산,2023-07-17,24.9,22.6,31.5,36,1.1,91.8,992.2,,9.1,26.7
238,금산,2023-07-18,22.6,21.6,24.3,69.8,.5,99.6,990.7,,8.3,24.4
238,금산,2023-07-19,25.2,20.8,31.3,,.6,81.6,987.8,,2.4,27.4
238,금산,2023-07-20,25.5,21.4,31,,.7,83,989.6,,5.3,27.1
238,금산,2023-07-21,26.4,22.1,34.4,0,.9,79,992.2,,4.1,28.7
238,금산,2023-07-22,24.6,20.5,28.9,0,1.3,82.1,992.8,,7.6,26
238,금산,2023-07-23,25.6,23.5,28.3,22.7,1.5,86,989,,9.6,25.7
238,금산,2023-07-24,25.3,23.1,29.8,15.3,.8,88.8,989.6,,8.8,26.9
238,금산,2023-07-25,25,23.1,28.8,17.6,.8,91.1,993.6,,8.9,27.1
238,금산,2023-07-26,25.4,22.5,32.6,35.4,.7,88.5,995.5,,8.8,27.8
238,금산,2023-07-27,26.1,22.1,32.7,1.9,.7,87,995,,4.5,28.7
238,금산,2023-07-28,27.5,23.3,32.8,0,.8,81.3,994.7,,6,28.7
238,금산,2023-07-29,28,23.4,33.8,0,.8,79.3,994.7,,3.8,29.5
238,금산,2023-07-30,26.6,23.3,33.2,4.7,.9,86.4,993.7,,5.1,28.5
238,금산,2023-07-31,26.6,22.5,31.9,,.8,84.3,993.1,,5.5,28.9
238,금산,2023-08-01,28.3,23.4,34,,.8,78.3,990.9,,4.8,29.4
238,금산,2023-08-02,28.5,23.7,33.9,,.9,79.5,988.5,,5.5,30.2
238,금산,2023-08-03,28.7,23.6,34.1,,.8,75.6,986.8,,4.9,30.9
238,금산,2023-08-04,28.6,23.9,34,,.7,78.4,985,,5.3,30.9
238,금산,2023-08-05,28.9,24.6,34.7,,.8,77.5,981.3,,4.1,34.2
238,금산,2023-08-06,28.7,23.3,35.2,0,.9,76.6,978.7,,5.1,31.9
238,금산,2023-08-07,29.8,25.6,35,,1.3,70.8,979.7,,5,34.1
238,금산,2023-08-08,28.9,24,34.8,,1.6,73.1,982.4,,4.1,33.8
238,금산,2023-08-09,25.6,23,28.1,56.6,1.3,85.6,982.9,,8.8,28.1
238,금산,2023-08-10,21.8,20.5,23.5,84.4,2.2,93.5,975.2,,8.3,23.7
238,금산,2023-08-11,25.4,21.3,30.3,.4,1.5,80.8,981.4,,8,28.1
238,금산,2023-08-12,24.4,21.4,28.8,8.6,.6,89.4,984.6,,6.5,28
238,금산,2023-08-13,25.7,21.6,31.1,,.7,85.4,985.2,,6.9,28.1
238,금산,2023-08-14,26.9,23.7,32.6,,.8,81,986.1,,4,29
238,금산,2023-08-15,26.7,22.2,32.5,,.8,81,984.9,,5.3,28.9
238,금산,2023-08-16,27,23.6,31.9,,.9,79.4,984.5,,6.1,33.4
238,금산,2023-08-17,25.8,21.4,31.2,0,.7,84.4,985.4,,7,30.5
238,금산,2023-08-18,26.7,22.9,32.5,.6,1,80.5,987.2,,6.3,28.9
238,금산,2023-08-19,26.8,23.6,33.4,1.4,.8,85.5,990.1,,5.8,33.9
238,금산,2023-08-20,27,24.3,32.5,1.4,.9,86.6,991.6,,6.1,30.9
238,금산,2023-08-21,27.6,23.8,34.2,,1.2,78.1,988.6,,4.1,33.1
238,금산,2023-08-22,27.3,22.6,33.4,,1.9,75.1,985.5,,5.1,32.2
238,금산,2023-08-23,27.4,24,33.4,17.6,1.5,80.3,985.4,,8.9,35.6
238,금산,2023-08-24,25.7,23.3,29.1,10.1,.9,89.1,986.3,,9,28.1
238,금산,2023-08-25,25.4,20.7,30.5,,1.1,78.4,988.6,,2.1,30.6
238,금산,2023-08-26,24.1,19.4,30.7,,.8,80.1,989.9,,4.9,29.1
238,금산,2023-08-27,24.9,19.6,30.4,,.8,79.6,988.6,,6.5,27.3
238,금산,2023-08-28,25.7,22.4,29.1,0,1.4,78.9,987,,9.1,28.7
238,금산,2023-08-29,24.7,21.7,28.7,35.9,1.1,89.8,986.5,,9.5,26.2
