지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 현지기압(hPa),가조시간(hr),평균 전운량(1/10),평균 지면온도(°C)
129,서산,2024-06-01,18.6,15.1,23.6,,3,11.9,1008.7,14.5,3.3,25
129,서산,2024-06-02,19.3,12,25.4,,1.8,11.1,1007.9,14.5,1.5,25.5
129,서산,2024-06-03,20.4,13.3,26.9,,1.5,11.7,1007.8,14.6,0,26.6
129,서산,2024-06-04,21,15.5,27.3,,1.7,13.2,1012.9,14.6,.1,27
129,서산,2024-06-05,20.7,14.9,27.1,,1.5,14.1,1015.4,14.6,6.3,27.1
129,서산,2024-06-06,21.4,16.5,28.4,,1.4,13.5,1013.9,14.6,4.8,27.5
129,서산,2024-06-07,21.2,15.6,26.6,.2,1.3,13.6,1010.9,14.6,8.3,25.6
129,서산,2024-06-08,20.2,17.3,24.6,5.2,1.8,17.4,1006.3,14.6,7.4,23.8
129,서산,2024-06-09,22.1,17.1,27.2,,1.6,16.9,1005.5,14.6,3.3,27.4
129,서산,2024-06-10,22.5,18.4,28,,3.2,18,1004.9,14.6,.3,27.1
129,서산,2024-06-11,22.1,18.9,27.7,,2.7,18.1,1004.8,14.6,3.5,27.7
129,서산,2024-06-12,22.3,16.2,31,,1.7,16.4,1003.3,14.7,2.6,29.2
129,서산,2024-06-13,23.8,18,30.8,,1.4,15.7,1002.3,14.7,2.3,30.5
129,서산,2024-06-14,24.1,18.3,31,,1.8,17.3,1002.8,14.7,5,30.4
129,서산,2024-06-15,23.4,20.1,26.9,0,1.7,18.9,1001.5,14.7,7,29.6
129,서산,2024-06-16,22.9,17,28.4,,1.9,15.6,1004.4,14.7,2.1,30
129,서산,2024-06-17,22.6,16.1,29.3,,1.6,13.8,1005.4,14.7,4.9,28.9
129,서산,2024-06-18,23.1,16.3,29.6,,1.9,18,1004.8,14.7,0,30.3
129,서산,2024-06-19,26.4,18.6,35.2,,1.5,17.9,1005.5,14.7,3.1,31.9
129,서산,2024-06-20,25.8,20.1,32.3,,1.4,16,1001.7,14.7,4.3,31.6
129,서산,2024-06-21,25.2,18.3,30.4,,1.6,17,1000,14.7,6.5,31.6
129,서산,2024-06-22,22.9,22,24,61.6,1.9,21.5,995.1,14.7,9.6,24.5
129,서산,2024-06-23,24,21.5,28.4,3.1,2.5,21.4,996.5,14.7,8.3,27.2
129,서산,2024-06-24,23.4,19.2,27.7,,2.8,18.4,1001.6,14.7,5.5,27.7
129,서산,2024-06-25,21.9,16.4,27.5,,1.9,16.5,1008.7,14.7,4.9,26.5
129,서산,2024-06-26,23.3,16.9,29.3,,1.5,16,1012.3,14.7,1.9,27.7
129,서산,2024-06-27,23.6,17.4,29.2,,1.3,16.3,1008.9,14.7,4.3,25.9
129,서산,2024-06-28,24.1,18,30.9,,1.4,17.2,1005,14.7,1.4,27.6
129,서산,2024-06-29,24.8,20.7,30.3,34.6,2.3,20.6,1000,14.7,7.9,26.8
129,서산,2024-06-30,23.9,22.1,27.2,15.7,3.8,21.6,996.1,14.7,8.1,25.9
129,서산,2024-07-01,24.9,21,29.5,,1.2,20.8,1001.4,14.6,2.5,27.8
129,서산,2024-07-02,24.2,21,27.7,51.2,3.2,22,1000.4,14.6,10,24.4
129,서산,2024-07-03,24.7,23.2,26.9,,3.7,22.1,1006.1,14.6,8.3,25.9
129,서산,2024-07-04,25.5,22.9,29.2,7.6,3.7,22.3,1004.1,14.6,6.1,27.8
129,서산,2024-07-05,23.9,21.2,26.9,0,3.1,20.5,1002.6,14.6,7,28.1
129,서산,2024-07-06,25.2,21.8,28.2,5.7,4.1,22.8,1000.8,14.6,9.4,27.2
129,서산,2024-07-07,23.5,21.6,25.1,16.6,1.9,22.5,1002,14.6,10,24.3
129,서산,2024-07-08,23.6,22.8,25.1,123.4,2.4,22.8,1000.5,14.6,9.9,24.3
129,서산,2024-07-09,23.5,22.8,24.5,16.6,1.5,22.5,1001.1,14.5,10,24.3
129,서산,2024-07-10,25.6,21.5,31.3,58.6,2.4,21,997.5,14.5,4.6,29.6
129,서산,2024-07-11,23.5,21,27.8,,1.6,20.9,1000,14.5,4.6,26.9
129,서산,2024-07-12,24.3,19.9,29.7,,1.1,20.9,1000.3,14.5,3.3,27
129,서산,2024-07-13,25.6,22,30,,1.3,22,1002.9,14.5,4,28.8
129,서산,2024-07-14,26.5,23.2,31.8,4.8,1.9,22.5,1006.1,14.5,7,30.8
129,서산,2024-07-15,26.5,23.7,30.7,7.5,1.7,22.9,1008.4,14.4,5.3,29.3
129,서산,2024-07-16,25.1,23,27.9,43.6,2.1,23.3,1007.3,14.4,8.1,27
129,서산,2024-07-17,26.5,23,28.4,4.5,4.6,24.7,1005.2,14.4,9.5,26.6
129,서산,2024-07-18,25,23.2,27,153,4.3,23.9,999.7,14.4,9.5,25
129,서산,2024-07-19,25.4,24.2,28.7,.1,2.4,23.7,1003.2,14.4,6.1,28.1
129,서산,2024-07-20,26.1,23.4,30.9,22.7,3.8,23.6,1003.6,14.3,8.8,27.1
129,서산,2024-07-21,26.2,24.4,28.8,0,3.7,24.5,1005.1,14.3,6.8,26.9
129,서산,2024-07-22,27.2,25.9,28.8,6.1,4.6,25.1,1003.3,14.3,8.8,27
129,서산,2024-07-23,26,24.8,27,33,4,25.1,1002.1,14.3,8.6,26.1
129,서산,2024-07-24,27.8,26.1,30.9,1.1,2.8,26.1,1002.1,14.2,4.5,28.7
129,서산,2024-07-25,29,25.2,34,,1.5,25,1003.5,14.2,6.4,30.3
129,서산,2024-07-26,29,26,33.7,0,2.4,24.7,1006.8,14.2,8.6,29.5
129,서산,2024-07-27,29.6,26.3,32.5,0,2.7,25.3,1011.2,14.2,8.3,30.8
129,서산,2024-07-28,28.9,27.1,31.5,,4.3,24.5,1010.1,14.1,7.3,29.7
129,서산,2024-07-29,27.4,26.4,28.7,,3.8,25,1007.2,14.1,5.1,28.1
129,서산,2024-07-30,27.6,26.2,30.1,,3,25,1005.2,14.1,3.4,29.1
129,서산,2024-07-31,28.6,26.3,31.7,,3.2,25,1004.1,14,1,31.6
129,서산,2024-08-01,28.8,26.9,31.7,,2.9,25.7,1002.2,14,3.8,31.3
129,서산,2024-08-02,29,27.1,32.2,,2.7,26.2,1002.1,14,4.3,30.2
129,서산,2024-08-03,29.7,26.1,34.8,,1.2,25.1,1005,14,2.5,31.3
129,서산,2024-08-04,29.8,24.7,35.3,,1.2,24.5,1005.2,13.9,1,32.5
129,서산,2024-08-05,29.6,26.3,34.5,0,1.6,25.5,1005,13.9,6.1,32.7
129,서산,2024-08-06,28.1,23.6,32.1,19.8,1.2,24.4,1005.1,13.9,6,29.4
129,서산,2024-08-07,29.1,25.3,34.2,0,1.2,24.8,1003.8,13.8,3.8,31.1
129,서산,2024-08-08,27,24.7,29.9,3.6,1.3,24.3,1002.5,13.8,7.1,29.1
129,서산,2024-08-09,27.9,23.2,33.8,,1.2,23.3,1001.9,13.8,2.1,30.2
129,서산,2024-08-10,28.6,23.8,34,,1.3,23.2,1000.7,13.7,5.4,30.9
129,서산,2024-08-11,29.2,25.2,33.4,,1.9,24,1000,13.7,4.3,30.9
129,서산,2024-08-12,29.7,25.5,34.8,,1.4,24.5,1002,13.7,1.1,31.7
129,서산,2024-08-13,29.8,26.7,34.5,,1.5,24.9,1005.3,13.6,3.3,31.3
129,서산,2024-08-14,30,26.7,35.8,,1.3,25.3,1005.2,13.6,5.3,33.7
129,서산,2024-08-15,27.9,25.8,33.1,14.2,1,25.1,1005,13.6,5.3,30.5
129,서산,2024-08-16,28.5,25,33.1,,1.3,25.1,1006.1,13.5,5.4,30.5
129,서산,2024-08-17,28.3,25.4,32.4,0,1.1,25,1007.7,13.5,5.5,30.3
129,서산,2024-08-18,28.2,25.4,33.2,5.9,1.1,24.8,1006.9,13.5,6.1,29.8
129,서산,2024-08-19,28.3,24.9,33,,1.1,25.1,1005.7,13.4,3.9,30.6
129,서산,2024-08-20,29.5,25.9,35.1,14.6,1.6,25.6,1005.6,13.4,6.4,30.5
129,서산,2024-08-21,28.1,25.5,30.8,123,3.8,26.3,1004.3,13.4,8.6,28.1
129,서산,2024-08-22,27.6,25,29.5,.2,3.6,25.1,1002.1,13.3,6,27.6
129,서산,2024-08-23,27.5,23.6,31.5,2.5,1.8,24.7,1005.9,13.3,2.6,29.4
129,서산,2024-08-24,27.7,24.6,31.9,,1.2,24.9,1007.6,13.3,3.5,29.8
129,서산,2024-08-25,27.3,24.3,32.1,13.5,.9,24.4,1006.5,13.2,5.4,30.4
129,서산,2024-08-26,27.1,23.7,31.1,,1,24.1,1004.2,13.2,8.3,28.9
129,서산,2024-08-27,25.8,24.5,28.4,.3,2.1,23,1003.5,13.1,7.4,26.4
129,서산,2024-08-28,27.1,22.8,32.3,,3,21,1005.2,13.1,0,28.2
129,서산,2024-08-29,27.5,22.8,32.3,,2.5,21,1003.7,13.1,0,29.2
129,서산,2024-08-30,26.7,22.9,32,,1.9,21.3,1003.1,13,0,30.3
129,서산,2024-08-31,25.4,20.9,31.1,,1,21.2,1004.5,13,.5,29.5
129,서산,2024-09-01,25.3,20.7,30.7,,1.4,21.2,1005.1,13,4.6,29.9
129,서산,2024-09-02,24,21.3,26.1,.1,1.6,21,1006.3,12.9,8,25
129,서산,2024-09-03,26.4,22.7,31.5,,1.8,21,1008.6,12.9,4.3,28.2
129,서산,2024-09-04,26.6,21.8,32.2,,1,21.3,1006.8,12.9,4,30.5
129,서산,2024-09-05,25.8,22.7,29.4,1.5,2,23.1,1005.4,12.8,6.9,28
129,서산,2024-09-06,25.6,22.8,28.9,,1.2,22.9,1008.3,12.8,7.4,27.4
129,서산,2024-09-07,25.4,21.1,31,,1.3,21.3,1010.9,12.7,1.9,29.9
129,서산,2024-09-08,24.8,20.7,31.3,,1.1,21.2,1011.2,12.7,1.9,29.2
129,서산,2024-09-09,26.3,20.8,32.8,,1.2,21.8,1010.4,12.7,2,32.7
129,서산,2024-09-10,27.8,23.3,34,,1.3,22.4,1010.8,12.6,1.1,32.1
129,서산,2024-09-11,26.8,24.6,30.9,28.9,1.4,24,1013,12.6,7.9,29.3
129,서산,2024-09-12,26.2,24.9,28.3,37.3,.7,25,1011.8,12.5,9.9,27.1
129,서산,2024-09-13,27,24.9,29.8,1.5,2,25,1006.4,12.5,9.3,27.8
129,서산,2024-09-14,27.2,24.8,31.2,6.8,1.5,24.5,1003.8,12.5,5.8,29.4
129,서산,2024-09-15,28.4,23.9,33.4,,1.8,24.1,1006.5,12.4,3.3,30
129,서산,2024-09-16,28.9,25.1,33.5,,2,23.2,1011.9,12.4,5.5,29.8
129,서산,2024-09-17,28.4,25.7,34.4,0,1.4,24.6,1012.1,12.4,6.1,29.8
129,서산,2024-09-18,28.5,25.2,33.4,7,1.1,24.9,1011,12.3,6,30.4
129,서산,2024-09-19,28.3,24.6,33,,.9,24.6,1011.2,12.3,8.1,29.8
129,서산,2024-09-20,25.9,24.8,27.4,221.8,2.1,24.7,1006.7,12.2,10,27.1
129,서산,2024-09-21,20.6,18.7,25.3,49.3,3.1,18.7,1003.5,12.2,8.5,23.2
129,서산,2024-09-22,21.2,17.6,25.2,,2.3,15.9,1009.8,12.2,6,22.3
129,서산,2024-09-23,20.3,16.5,25.5,,2.5,14.4,1014.6,12.1,1.5,22.6
129,서산,2024-09-24,20.8,14.8,27.1,,1.5,13.9,1013.2,12.1,5.9,23
129,서산,2024-09-25,23,18.6,29.2,,1.1,18.2,1011.4,12,6.9,24.8
129,서산,2024-09-26,23,18.6,28.8,,1.2,19.3,1010.4,12,4.3,24.8
129,서산,2024-09-27,21.7,17.3,26.6,,1.2,18.2,1011.2,12,2.3,24
129,서산,2024-09-28,23.3,18.5,29,,2.2,17.7,1014.7,11.9,1.9,23.9
129,서산,2024-09-29,23.2,18.6,28.7,,2.1,17.1,1016.4,11.9,2.1,24.1
129,서산,2024-09-30,21.3,15.3,28.6,,.9,14.3,1012.9,11.9,3.4,23.5
129,서산,2024-10-01,17.8,13.6,20.2,13.3,2.3,12.6,1010,11.8,8.4,19.7
129,서산,2024-10-02,14.3,9.7,18.9,,2,5.4,1016.4,11.8,2.4,17
129,서산,2024-10-03,13.9,8.6,21,,1.5,8.4,1019.4,11.7,2,16.3
129,서산,2024-10-04,16,9.6,23.1,,1.6,9.7,1021.4,11.7,0,17.9
129,서산,2024-10-05,16.7,11.3,23.5,,1.6,11,1020.3,11.7,4.3,18.3
129,서산,2024-10-06,16,13,18.4,.4,1.1,13.6,1017.7,11.6,9.8,17.8
129,서산,2024-10-07,17.1,13.6,21.5,,.9,13.5,1015,11.6,8.8,19.3
129,서산,2024-10-08,16.4,12.6,22.3,,1.1,13,1014.3,11.5,2.3,18.6
129,서산,2024-10-09,17.8,12.5,24.6,,1.5,13.2,1013.1,11.5,3.8,18.8
129,서산,2024-10-10,17,12.7,23.6,3.6,1.1,13.6,1012.4,11.5,4,18.8
129,서산,2024-10-11,17,11.6,24.6,,.9,12.5,1015.8,11.4,.5,18.7
129,서산,2024-10-12,16.5,11.3,23.8,,1.3,11.3,1020.4,11.4,0,18.2
129,서산,2024-10-13,17.4,10.1,23.9,,1.1,11.8,1020,11.3,6.4,18
129,서산,2024-10-14,17.6,15.8,19.9,2,1,15.4,1016.1,11.3,9.8,18.1
129,서산,2024-10-15,18.9,16,22.5,14.3,.7,17.5,1015.1,11.3,7.9,20
129,서산,2024-10-16,17.7,14.6,24.1,,1.2,14.8,1019.9,11.2,5.3,19.4
129,서산,2024-10-17,18.9,14.1,25.5,,1.6,14.7,1018.7,11.2,5.3,18.7
129,서산,2024-10-18,17.8,16.4,18.9,109.2,1.5,16.7,1010.3,11.2,8.8,18
129,서산,2024-10-19,16.6,13.2,18.8,1.9,3,13.1,1016,11.1,6.4,18.1
129,서산,2024-10-20,13.6,10.7,18.5,,3.7,5.4,1026.5,11.1,2.3,14.3
129,서산,2024-10-21,14.9,9.4,20.1,0,1.7,9.7,1020.8,11.1,9.1,15.3
129,서산,2024-10-22,16.7,15.3,18.7,4.9,1.8,15.4,1011.8,11,9.9,17.5
129,서산,2024-10-23,12.9,7.6,17,.3,3.5,8,1015,11,4.8,15.1
