지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),일조(hr),적설(cm),전운량(10분위),지면상태(지면상태코드),지면온도(°C)
238,금산,2021-04-01 03:00,6.3,,0,0,72,,,0,,4.4
238,금산,2021-04-01 04:00,5.8,,0,0,77,,,1,,4
238,금산,2021-04-01 05:00,5.2,,.1,0,81,,,0,,3.7
238,금산,2021-04-01 06:00,5,,.1,0,80,,,8,,3.8
238,금산,2021-04-01 07:00,6,,.1,0,79,0,,6,,5.3
238,금산,2021-04-01 08:00,10.5,,.9,160,59,.4,,7,,8.4
238,금산,2021-04-01 09:00,13.9,,2,110,48,1,,6,,15.3
238,금산,2021-04-01 10:00,16.2,,3.2,90,39,1,,8,,19.9
238,금산,2021-04-01 11:00,17.3,,4,90,33,.9,,9,,21.9
238,금산,2021-04-01 12:00,18.6,,4.8,90,33,.4,,9,,27
238,금산,2021-04-01 13:00,19,,4.5,90,36,.9,,9,,29.6
238,금산,2021-04-01 14:00,19.4,,4.1,70,34,.4,,9,,25
238,금산,2021-04-01 15:00,20.3,,4.4,90,28,1,,7,,28.2
238,금산,2021-04-01 16:00,20.3,,4.1,110,26,.8,,8,,27.2
238,금산,2021-04-01 17:00,19.2,,3.6,140,27,.9,,8,,22
238,금산,2021-04-01 18:00,17.3,,3.2,140,30,.3,,8,,15.8
238,금산,2021-04-01 19:00,16,,2.9,140,33,0,,7,,12.7
238,금산,2021-04-01 20:00,15.3,,2.8,140,33,,,10,,12.1
238,금산,2021-04-01 21:00,14.7,,1.9,110,32,,,9,,11
238,금산,2021-04-01 22:00,14.1,,2.7,110,34,,,9,,10.3
238,금산,2021-04-01 23:00,13.5,,2.9,90,38,,,10,,10.2
238,금산,2021-04-02 00:00,13.2,,4,90,39,,,10,,10.1
238,금산,2021-04-02 01:00,12.8,,2,90,42,,,9,,9.7
238,금산,2021-04-02 02:00,12.3,,2.5,110,45,,,10,,9.7
238,금산,2021-04-02 03:00,12.2,,3.4,90,47,,,8,,9.7
238,금산,2021-04-02 04:00,12.2,,3.8,90,48,,,7,,9.5
238,금산,2021-04-02 05:00,12,,1.4,90,50,,,5,,9.4
238,금산,2021-04-02 06:00,12.2,,2,90,49,,,1,,9.4
238,금산,2021-04-02 07:00,12.2,,2.3,110,51,0,,0,,9.8
238,금산,2021-04-02 08:00,13.5,,2.2,70,51,.6,,8,,13
238,금산,2021-04-02 09:00,13.5,,2.2,110,53,0,,9,,14.2
238,금산,2021-04-02 10:00,15.6,,3.1,90,51,.3,,10,,23.4
238,금산,2021-04-02 11:00,17.6,,3.2,110,48,.8,,7,,30.4
238,금산,2021-04-02 12:00,19.7,,2.5,90,44,.9,,7,,32.5
238,금산,2021-04-02 13:00,21.8,,2.1,90,39,1,,4,,36.4
238,금산,2021-04-02 14:00,22.8,,1.9,50,40,1,,3,,36.7
238,금산,2021-04-02 15:00,22.7,,2,90,37,.6,,9,,31.5
238,금산,2021-04-02 16:00,22.1,,1.8,70,41,0,,10,,23.9
238,금산,2021-04-02 17:00,21.6,,1.5,70,43,0,,10,,22.7
238,금산,2021-04-02 18:00,20.8,,1,90,46,0,,9,,19.4
238,금산,2021-04-02 19:00,19.9,,.9,20,50,0,,9,,16.8
238,금산,2021-04-02 20:00,18.2,,.5,250,60,,,9,,15.5
238,금산,2021-04-02 21:00,17.2,,.3,0,65,,,7,,14.5
238,금산,2021-04-02 22:00,16.8,,.4,0,66,,,9,,14.1
238,금산,2021-04-02 23:00,16.6,,.4,0,68,,,9,,13.9
238,금산,2021-04-03 00:00,16.7,,.5,160,66,,,10,,13.2
238,금산,2021-04-03 01:00,15.2,,.8,270,73,,,8,,12.6
238,금산,2021-04-03 02:00,14.9,,.6,250,75,,,10,,12.9
238,금산,2021-04-03 03:00,14.9,,.3,0,75,,,8,,12.7
238,금산,2021-04-03 04:00,14.8,,.5,180,77,,,9,,12.5
238,금산,2021-04-03 05:00,14.4,,.4,0,78,,,8,,12.3
238,금산,2021-04-03 06:00,15,,1.2,200,72,,,9,,12.6
238,금산,2021-04-03 07:00,15.1,,.6,110,71,0,,9,,12.8
238,금산,2021-04-03 08:00,15.4,,.4,0,70,0,,9,,14.2
238,금산,2021-04-03 09:00,15.7,,.8,160,69,0,,9,,14.7
238,금산,2021-04-03 10:00,16.5,,.6,140,67,0,,9,,17.3
238,금산,2021-04-03 11:00,17.2,0,.6,160,65,0,,10,,20.4
238,금산,2021-04-03 12:00,17.3,.2,.6,270,75,0,,9,,18
238,금산,2021-04-03 13:00,16.1,2,.7,20,91,0,,10,,17.7
238,금산,2021-04-03 14:00,16.9,1.3,1.8,110,93,0,,,,18.8
238,금산,2021-04-03 15:00,16.9,.5,1.2,110,95,0,,,,17.7
238,금산,2021-04-03 16:00,16.5,4.2,1.8,140,95,0,,,,16.7
238,금산,2021-04-03 17:00,16.2,3.1,2.4,140,96,0,,10,,16
238,금산,2021-04-03 18:00,16.2,.7,2.3,140,96,0,,10,,15.6
238,금산,2021-04-03 19:00,16.3,.8,.5,110,96,0,,10,,15.3
238,금산,2021-04-03 20:00,15.9,.1,.1,0,99,,,9,,15.1
238,금산,2021-04-03 21:00,15.8,.7,.5,290,100,,,10,,15
238,금산,2021-04-03 22:00,15.8,.3,.9,290,100,,,10,,14.9
238,금산,2021-04-03 23:00,14.6,.3,1.8,340,98,,,9,,14.5
238,금산,2021-04-04 00:00,14,.1,2.1,340,98,,,10,,14
238,금산,2021-04-04 01:00,13.9,.1,1.7,360,92,,,5,,13.5
238,금산,2021-04-04 02:00,13.9,,1,290,90,,,10,,13.3
238,금산,2021-04-04 03:00,13.4,,.2,0,95,,,9,,13.3
238,금산,2021-04-04 04:00,13.3,.3,1.7,290,94,,,10,,13
238,금산,2021-04-04 05:00,12.6,1.3,1,340,98,,,9,,12.7
238,금산,2021-04-04 06:00,12.3,1.4,1,340,98,,,10,,12.4
238,금산,2021-04-04 07:00,11.6,2.2,.8,320,97,0,,8,,12.1
238,금산,2021-04-04 08:00,11.2,.7,1.1,340,99,0,,9,,12.1
238,금산,2021-04-04 09:00,11.6,.4,1.8,70,88,0,,9,,12.7
238,금산,2021-04-04 10:00,11.9,,2,90,85,0,,9,,14.7
238,금산,2021-04-04 11:00,12.3,,1.5,70,80,0,,9,,14.5
238,금산,2021-04-04 12:00,11.8,,2,70,78,0,,,,14.3
238,금산,2021-04-04 13:00,11.2,,2.4,110,78,0,,10,,13.8
238,금산,2021-04-04 14:00,11.5,,2.4,70,76,0,,10,,15.6
238,금산,2021-04-04 15:00,11.6,,1.2,110,75,0,,10,,15.5
238,금산,2021-04-04 16:00,12.6,,1.6,110,70,0,,10,,17.2
238,금산,2021-04-04 17:00,12.2,,1,110,71,0,,10,,13.9
238,금산,2021-04-04 18:00,11.9,,1.9,50,74,0,,10,,12.3
238,금산,2021-04-04 19:00,10.7,,1.4,110,84,0,,10,,11.3
238,금산,2021-04-04 20:00,9.8,,1.2,110,87,,,3,,9.2
238,금산,2021-04-04 21:00,9,,.5,270,92,,,2,,9.2
238,금산,2021-04-04 22:00,8.5,,.1,0,95,,,0,,8.6
238,금산,2021-04-04 23:00,8,,.3,0,97,,,0,,8.3
238,금산,2021-04-05 00:00,7.5,,.6,270,98,,,5,,7.4
238,금산,2021-04-05 01:00,6.5,,.9,270,99,,,0,,6.5
238,금산,2021-04-05 02:00,5.5,,.3,0,99,,,6,,5.6
238,금산,2021-04-05 03:00,4.9,,.2,0,100,,,9,,5.2
238,금산,2021-04-05 04:00,4.7,,.3,0,100,,,10,,6.7
238,금산,2021-04-05 05:00,5,,.3,0,100,,,10,,7.1
238,금산,2021-04-05 06:00,4.5,,.4,0,100,,,10,,6.3
238,금산,2021-04-05 07:00,4.3,,.2,0,100,0,,10,,7.3
238,금산,2021-04-05 08:00,4.8,,.6,230,100,0,,9,,9
238,금산,2021-04-05 09:00,6.5,,.5,290,100,.1,,0,,13.7
238,금산,2021-04-05 10:00,11.2,,2.4,70,38,1,,0,,19.4
238,금산,2021-04-05 11:00,12.2,,2,70,31,1,,0,,23.6
238,금산,2021-04-05 12:00,13.2,,1.5,20,35,1,,,,26.7
238,금산,2021-04-05 13:00,14.8,,2.2,70,26,1,,,,27.9
238,금산,2021-04-05 14:00,15.7,,2.6,110,27,1,,,,28.8
238,금산,2021-04-05 15:00,16.6,,1.4,110,26,1,,0,,28.3
238,금산,2021-04-05 16:00,17,,1.5,90,24,1,,0,,26.2
238,금산,2021-04-05 17:00,16.5,,1.6,90,25,1,,0,,22.4
238,금산,2021-04-05 18:00,15.5,,1.6,70,29,1,,0,,14.9
238,금산,2021-04-05 19:00,14.4,,.9,70,33,.5,,0,,11.3
238,금산,2021-04-05 20:00,10.1,,1.3,270,57,,,2,,9.1
238,금산,2021-04-05 21:00,8.7,,1.1,250,63,,,0,,7.8
238,금산,2021-04-05 22:00,7.1,,.1,0,72,,,0,,6.8
238,금산,2021-04-05 23:00,6.2,,.8,290,75,,,6,,5.9
238,금산,2021-04-06 00:00,5.7,,.6,270,80,,,7,,5.8
238,금산,2021-04-06 01:00,5.1,,.6,270,83,,,7,,5.5
238,금산,2021-04-06 02:00,4.3,,.4,0,87,,,2,,4.5
238,금산,2021-04-06 03:00,3.3,,.8,290,91,,,0,,3.7
238,금산,2021-04-06 04:00,2.8,,.4,0,94,,,3,,3.5
238,금산,2021-04-06 05:00,2.5,,.2,0,94,,,7,,3.4
238,금산,2021-04-06 06:00,2.6,,.7,270,95,,,10,,4.3
238,금산,2021-04-06 07:00,3.8,,.2,0,90,0,,7,,5.6
238,금산,2021-04-06 08:00,5,,.6,320,88,.2,,7,,7.7
238,금산,2021-04-06 09:00,7.2,,.3,0,77,.5,,8,,11.7
238,금산,2021-04-06 10:00,10.1,,.6,230,61,.3,,9,,18.3
238,금산,2021-04-06 11:00,14.8,,.9,290,39,.7,,6,,25
238,금산,2021-04-06 12:00,16.9,,2.3,340,28,1,,,,27.7
238,금산,2021-04-06 13:00,18.4,,2.2,290,25,1,,,,28.8
238,금산,2021-04-06 14:00,19,,2.9,270,30,1,,,,29.7
238,금산,2021-04-06 15:00,19.1,,2.6,290,25,.9,,0,,29.3
238,금산,2021-04-06 16:00,19.2,,2.8,320,22,.6,,1,,22.9
238,금산,2021-04-06 17:00,19,,3.1,360,22,1,,0,,21.8
238,금산,2021-04-06 18:00,17.5,,2.9,290,28,1,,0,,15.3
238,금산,2021-04-06 19:00,15.8,,1.7,290,32,.5,,0,,11.8
238,금산,2021-04-06 20:00,14.2,,1.5,270,39,,,0,,9.9
238,금산,2021-04-06 21:00,13.1,,1.4,270,45,,,0,,8.9
238,금산,2021-04-06 22:00,11.2,,.6,20,55,,,0,,7.8
238,금산,2021-04-06 23:00,9.8,,.2,0,63,,,0,,6.7
238,금산,2021-04-07 00:00,9,,.3,0,66,,,0,,6
238,금산,2021-04-07 01:00,7.5,,.3,0,74,,,0,,5.4
238,금산,2021-04-07 02:00,6.2,,.1,0,78,,,0,,4.7
238,금산,2021-04-07 03:00,5.2,,1.1,270,82,,,0,,4.4
238,금산,2021-04-07 04:00,4.5,,.3,0,85,,,0,,3.7
238,금산,2021-04-07 05:00,3.5,,.7,320,90,,,0,,3.4
238,금산,2021-04-07 06:00,2.6,,.3,0,93,,,0,,3
238,금산,2021-04-07 07:00,3.4,,.7,270,90,.3,,0,,3.9
238,금산,2021-04-07 08:00,6.1,,.4,0,81,1,,0,,6.5
238,금산,2021-04-07 09:00,9.9,,.5,20,62,1,,0,,14.8
238,금산,2021-04-07 10:00,14,,.9,70,47,1,,0,,22.2
238,금산,2021-04-07 11:00,17,,1.2,140,37,1,,0,,26.9
238,금산,2021-04-07 12:00,18.3,,1.4,230,30,1,,1,,30.4
238,금산,2021-04-07 13:00,20.5,,2.3,340,21,1,,0,,32.5
238,금산,2021-04-07 14:00,21,,2.8,360,19,1,,0,,33
238,금산,2021-04-07 15:00,21.1,,2.8,340,16,1,,0,,32.1
238,금산,2021-04-07 16:00,20.4,,2.5,340,22,1,,0,,25.8
238,금산,2021-04-07 17:00,20.8,,2,320,22,1,,4,,25.3
238,금산,2021-04-07 18:00,18.6,,3.6,290,32,.9,,6,,17.8
238,금산,2021-04-07 19:00,17,,2.1,290,39,0,,1,,13.9
238,금산,2021-04-07 20:00,15.1,,1,290,36,,,3,,11.3
238,금산,2021-04-07 21:00,12.2,,.8,290,54,,,6,,9.7
238,금산,2021-04-07 22:00,10.7,,.9,340,55,,,6,,8.4
238,금산,2021-04-07 23:00,9.9,,.2,0,61,,,5,,7.3
238,금산,2021-04-08 00:00,8.9,,.4,0,66,,,8,,7.2
238,금산,2021-04-08 01:00,7.7,,.6,290,69,,,7,,6.6
238,금산,2021-04-08 02:00,7,,.2,0,77,,,9,,6.3
238,금산,2021-04-08 03:00,6.3,,.7,250,79,,,7,,5.8
238,금산,2021-04-08 04:00,5.8,,.6,360,81,,,6,,4.9
238,금산,2021-04-08 05:00,4.8,,.6,290,86,,,4,,4.2
238,금산,2021-04-08 06:00,4,,.5,290,90,,,2,,3.8
238,금산,2021-04-08 07:00,4.5,,.1,0,88,0,,2,,5.1
238,금산,2021-04-08 08:00,6.8,,.2,0,78,.8,,5,,7.7
238,금산,2021-04-08 09:00,9.9,,.5,160,62,1,,6,,13.7
238,금산,2021-04-08 10:00,14.1,,1,340,37,1,,0,,22.7
238,금산,2021-04-08 11:00,16.4,,2.9,340,22,1,,0,,27.1
238,금산,2021-04-08 12:00,16.6,,3,340,17,1,,0,,29.9
238,금산,2021-04-08 13:00,17.4,,3.2,340,18,1,,0,,31.9
238,금산,2021-04-08 14:00,18.3,,2.5,340,21,1,,0,,33
238,금산,2021-04-08 15:00,18.3,,2.4,270,25,1,,,,32.4
238,금산,2021-04-08 16:00,18.4,,2.5,320,23,1,,0,,29.4
238,금산,2021-04-08 17:00,17.9,,2.6,270,25,1,,0,,25.1
238,금산,2021-04-08 18:00,15.8,,2.8,250,28,1,,0,,16.3
238,금산,2021-04-08 19:00,14,,2.7,270,36,.6,,0,,12.3
238,금산,2021-04-08 20:00,12.7,,1.7,270,34,,,0,,9.9
