지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),적설(cm),전운량(10분위),지면상태(지면상태코드),지면온도(°C)
238,금산,2022-03-01 01:00,2.3,,.5,360,57,995.5,,,7,,.7
238,금산,2022-03-01 02:00,3,,.5,230,54,995.1,,,10,,1.6
238,금산,2022-03-01 03:00,3.8,,.6,320,53,993.9,,,10,,2.3
238,금산,2022-03-01 04:00,3.6,,.8,290,65,993.3,,,10,,2.5
238,금산,2022-03-01 05:00,2.7,,.7,320,81,992.9,,,10,,2.6
238,금산,2022-03-01 06:00,2.7,1.1,.7,290,92,993,,,10,,2.9
238,금산,2022-03-01 07:00,3.4,,.2,0,94,992.6,,,10,,3.2
238,금산,2022-03-01 08:00,3.5,,.2,0,97,993,0,,9,,3.5
238,금산,2022-03-01 09:00,4.3,1.2,0,0,98,993.7,0,,10,,4.3
238,금산,2022-03-01 10:00,5.5,,.7,180,98,993.5,0,,10,,8
238,금산,2022-03-01 11:00,7.7,,1,160,93,993.3,0,,8,,11.3
238,금산,2022-03-01 12:00,10.9,.1,1.4,230,77,992.4,.4,,8,,19.7
238,금산,2022-03-01 13:00,12.2,,2.2,270,67,991.9,.5,,9,,19.3
238,금산,2022-03-01 14:00,11.9,,3.1,270,64,991.6,.8,,9,,19.6
238,금산,2022-03-01 15:00,11.4,,2.7,250,65,991.7,.8,,9,,17.6
238,금산,2022-03-01 16:00,10.7,,1.7,270,65,992,.1,,9,,12.2
238,금산,2022-03-01 17:00,9.4,,3.1,250,71,992.8,0,,10,,9.8
238,금산,2022-03-01 18:00,7.8,,2.5,270,74,993.3,0,,0,,6.3
238,금산,2022-03-01 19:00,5.6,,2.1,290,82,994.2,0,,10,,3.8
238,금산,2022-03-01 20:00,5.2,,1.2,290,78,995.3,,,10,,2.9
238,금산,2022-03-01 21:00,4,,1.3,270,77,996,,,6,,1.4
238,금산,2022-03-01 22:00,3.2,,1.7,290,77,996.7,,,0,,.2
238,금산,2022-03-01 23:00,2.6,,2.3,270,75,997.2,,,4,,.2
238,금산,2022-03-02 00:00,1.6,,1,270,76,997.2,,,6,,-.3
238,금산,2022-03-02 01:00,.2,,1.1,340,80,997.1,,,6,,-.9
238,금산,2022-03-02 02:00,-.5,,1.1,250,78,997.5,,,5,,-1.5
238,금산,2022-03-02 03:00,-1.1,,.4,0,81,997.5,,,6,,-2.3
238,금산,2022-03-02 04:00,-2.1,,.6,320,85,997.3,,,5,,-2.9
238,금산,2022-03-02 05:00,-3.1,,.2,0,89,997.4,,,6,,-3.7
238,금산,2022-03-02 06:00,-3.4,,.1,0,91,997.6,,,5,,-4.3
238,금산,2022-03-02 07:00,-4.6,,.4,0,92,997.6,,,0,,-4.6
238,금산,2022-03-02 08:00,-3.3,,.3,0,91,998.3,.8,,0,,-3.2
238,금산,2022-03-02 09:00,-.5,,.5,160,74,998.6,1,,0,,-1
238,금산,2022-03-02 10:00,2.7,,.8,340,56,998.6,1,,0,,5.8
238,금산,2022-03-02 11:00,5.5,,3.1,360,34,998.1,1,,1,,13.9
238,금산,2022-03-02 12:00,6.7,,2.9,360,30,997.4,1,,1,,20.4
238,금산,2022-03-02 13:00,8.4,,1.9,290,29,996.7,1,,0,,25
238,금산,2022-03-02 14:00,7.9,,3.1,340,30,996.1,1,,0,,24.9
238,금산,2022-03-02 15:00,8.5,,2.8,250,31,995.6,1,,0,,25.2
238,금산,2022-03-02 16:00,8.8,,2.3,320,33,995.4,1,,0,,20.5
238,금산,2022-03-02 17:00,8.3,,2.9,270,36,995.2,1,,0,,15.1
238,금산,2022-03-02 18:00,6.2,,2.9,270,43,995.6,1,,0,,6.1
238,금산,2022-03-02 19:00,4.5,,3.2,270,53,996.5,0,,0,,2.8
238,금산,2022-03-02 20:00,3.4,,1.7,270,60,997.2,,,0,,.9
238,금산,2022-03-02 21:00,2.6,,.9,250,66,997.3,,,0,,-.4
238,금산,2022-03-02 22:00,1.1,,.6,230,74,997.9,,,0,,-.9
238,금산,2022-03-02 23:00,1.6,,.4,0,74,997.6,,,0,,-1.4
238,금산,2022-03-03 00:00,.4,,.6,110,78,997.3,,,0,,-1.8
238,금산,2022-03-03 01:00,.3,,.9,70,79,997.3,,,0,,-1.8
238,금산,2022-03-03 02:00,.6,,1.2,110,79,997.3,,,0,,-1.8
238,금산,2022-03-03 03:00,.3,,1,140,80,997.2,,,0,,-2.2
238,금산,2022-03-03 04:00,-1.1,,1.1,110,84,996.8,,,0,,-2.4
238,금산,2022-03-03 05:00,-1.6,,.5,140,87,996.7,,,0,,-3.1
238,금산,2022-03-03 06:00,-3.2,,.4,0,90,997.3,,,0,,-3.4
238,금산,2022-03-03 07:00,-3.1,,.3,0,91,997.6,0,,0,,-3.8
238,금산,2022-03-03 08:00,-1.7,,0,0,89,998.2,.5,,0,,-2.1
238,금산,2022-03-03 09:00,1.2,,.3,0,79,999,1,,0,,0
238,금산,2022-03-03 10:00,6.2,,.6,20,64,998.6,1,,0,,8.6
238,금산,2022-03-03 11:00,9.4,,1.1,70,51,998.4,1,,0,,19.8
238,금산,2022-03-03 12:00,11.3,,1.4,50,35,997.6,1,,0,,26.5
238,금산,2022-03-03 13:00,12.4,,2.2,270,21,997.2,1,,0,,30.2
238,금산,2022-03-03 14:00,12.7,,3.3,270,18,996.4,1,,0,,30.9
238,금산,2022-03-03 15:00,12.6,,2.9,230,25,995.9,1,,0,,28.3
238,금산,2022-03-03 16:00,12.3,,3.3,230,26,995.7,1,,0,,23.5
238,금산,2022-03-03 17:00,12,,2.7,270,24,995.7,1,,0,,17.2
238,금산,2022-03-03 18:00,10.4,,2,270,24,995.7,1,,0,,8.1
238,금산,2022-03-03 19:00,6.9,,.6,250,36,996.1,0,,0,,3.4
238,금산,2022-03-03 20:00,5.2,,.2,0,43,996.8,,,0,,1
238,금산,2022-03-03 21:00,3.3,,.2,0,51,997,,,0,,-.7
238,금산,2022-03-03 22:00,1.4,,.3,0,58,997.4,,,0,,-1.3
238,금산,2022-03-03 23:00,.1,,.6,250,62,997.4,,,0,,-1.8
238,금산,2022-03-04 00:00,-1,,.2,0,67,997,,,0,,-2.4
238,금산,2022-03-04 01:00,-1.8,,.3,0,70,997,,,5,,-2.8
238,금산,2022-03-04 02:00,-2.5,,.3,0,73,997.2,,,5,,-3
238,금산,2022-03-04 03:00,-2.5,,.4,0,73,996.7,,,8,,-3
238,금산,2022-03-04 04:00,-3.2,,.3,0,78,996.3,,,5,,-3.6
238,금산,2022-03-04 05:00,-3.5,,0,0,79,996.7,,,9,,-3.4
238,금산,2022-03-04 06:00,-3.4,,.2,0,79,996.7,,,5,,-3.2
238,금산,2022-03-04 07:00,-3.2,,.3,0,80,996.6,0,,10,,-2.6
238,금산,2022-03-04 08:00,-2,,.4,0,77,996.5,0,,10,,-.7
238,금산,2022-03-04 09:00,.4,,.2,0,68,996.1,0,,10,,1.7
238,금산,2022-03-04 10:00,4.2,,.5,340,61,995.1,0,,9,,5.7
238,금산,2022-03-04 11:00,10.6,,1,180,53,993.5,.9,,6,,18
238,금산,2022-03-04 12:00,14.2,,2.6,250,31,992.1,1,,7,,27
238,금산,2022-03-04 13:00,15.4,,3,230,29,990.9,1,,0,,29.2
238,금산,2022-03-04 14:00,15.7,,3.8,200,29,989.8,1,,2,,29.1
238,금산,2022-03-04 15:00,16,,4,230,28,989,1,,4,,26.9
238,금산,2022-03-04 16:00,16.1,,4,230,29,988.2,1,,6,,21.5
238,금산,2022-03-04 17:00,15.4,,2.1,250,34,987.4,.7,,3,,15.4
238,금산,2022-03-04 18:00,14.6,,3.1,250,35,987.7,0,,7,,11.5
238,금산,2022-03-04 19:00,12.7,,1.9,250,40,988.3,0,,10,,9
238,금산,2022-03-04 20:00,12.9,,4.8,250,40,988.4,,,1,,8.1
238,금산,2022-03-04 21:00,11.9,,4.6,270,48,989.9,,,7,,8.4
238,금산,2022-03-04 22:00,10.2,,3.6,250,62,990.3,,,10,,7.8
238,금산,2022-03-04 23:00,9.6,,4,250,69,990.1,,,6,,6.6
238,금산,2022-03-05 00:00,9.1,,3.5,250,67,989.7,,,7,,5.4
238,금산,2022-03-05 01:00,8.3,,2.8,270,68,990.3,,,7,,4.5
238,금산,2022-03-05 02:00,7.3,,2,250,66,990.4,,,,,3.1
238,금산,2022-03-05 03:00,6.1,,3,270,69,990.8,,,0,,2.6
238,금산,2022-03-05 04:00,5.2,,3,290,70,991,,,0,,1.7
